Country,City,code,subtitute
Singapore,Singapore,234,
United Kingdom,Leeds,39,
United States,Austin,719,
Canada,Toronto,264,
France,Paris,194,
Canada,Calgary,622,
Finland,Helsinki,168,
Netherlands,Amsterdam,143,
United States,Madison,788,
Canada,Vancouver,266,
United Kingdom,Nottingham,28,Birmingham
United States,California,269,"Los Angeles, California"
United States,Tucson,840,
United States,Buffalo,728,
Sweden,Uppsala,187,Stockholm
United Kingdom,London,32,
United States,Seattle,277,
Italy,Venice,606,
Germany,T?bingen,1357,Stuttgart
United Kingdom,Birmingham,28,
Australia,Melbourne,301,
United States,Charlottesville,816,"Richmond, Virginia"
United Kingdom,Glasgow,33,Edinburgh
United States,California,269,"Los Angeles, California"
United States,Champaign,274,"Chicago, Illinois"
United States,Storrs,2005,"Middletown, Connecticut"
Australia,Sydeny,300,
United States,Honolulu,849,
United Kingdom,Brighton,1909,Southampton
United States,New York,278,
Austria,Vienna,17,
Canada,Burnaby,266,Vancouver
United Kingdom,London,32,
Canada,Montreal,634,
Spain,Pamplona,1783,
Australia,Melbourne,301,
Ireland,Dublin,188,
France,Tours,1056,Nantes
Germany,Mannheim,57,Frankfurt
Netherlands,Rotterdam,143,Amsterdam
United Kingdom,Sheffield,31,Manchester
United States,Washington,270,
United Kingdom,Canterbury,32,London
Hong Kong SAR,Hong Kong SAR,1,
Canada,London,264,Toronto
China,Harbin,540,
Peru,Lima,108,
United States,Pittsburgh,807,
Canada,Toronto,264,
Japan,Tokyo,183,
United States,West Virginia,733,
Sweden,Lund,1041,Malmo
Netherlands,Leiden,143,Amsterdam
Australia,Brisbane,320,
Denmark,Copenhagen,190,
Taiwan,Taipei City,354,
New Zealand,Wellington,298,
China,Beijing,237,
Poland,Warsaw,24,
Mexico,Monterrey,1208,
Germany,Witten,1345,Essen
Germany,Regensburg,1354,
Singapore,Singapore,234,
Spain,Madrid,195,
Czechia,Prague,197,
Canada,Ottawa,265,
United States,Lawrence,2005,"Middletown, Connecticut"
Sweden,Gothenburg,1042,
United Kingdom,Birmingham,28,
Canada,Kingston,264,Toronto
United States,New York,278,
United States,Cincinnati,737,
Germany,Bonn,56,Koeln
Sweden,Halmstad,1041,Malmo
Germany,Berlin,59,
United States,Chapel Hill,813,"Raleigh & Durham, North Carolina"
Italy,Milan,603,
Japan,Tokyo,183,
Spain,Bilbao,1233,
Netherlands,Amsterdam,143,
United States,Missouri,1973,
United States,Oxford,790,Memphis
United States,Boston,273,
United States,Hilo,1985,
Norway,Kristiansand,908,
Mexico,Guadalajara,1206,
Peru,Lima,108,
Mexico,Guadalajara,1206,
HongKongSAR,HongKongSAR,1,
Mexico,Guadalajara,1206,
Germany,Munich,58,
China,Jinan,551,
Austria,Salzburg,905,Innsbruck
Russia,Saint Petersburg,203,
United Kingdom,Egham,32,London
Germany,Bamberg,1352,Nuernberg
Singapore,Singapore,234,
Germany,Frankfurt,57,
Japan,Kyoto,184,Osaka
Russia,Moscow,206,
HongKongSAR,HongKongSAR,1,
Italy,Milan,603,
Germany,Freiburg im Breisgau,1346,
Japan,Nagoya,355,
Mexico,Colima,1206,Guadalajara
Japan,Musashino City,183,Tokyo
Japan,Kunitachi City,183,Tokyo
United States,Los Angeles,269,
Switzerland,Zurich,312,
China,Beijing,237,
Japan,Bunkyo City,183,Tokyo
France,Paris,194,
